Generation,Best Fitness,Mean Fitness,Nodes,Connections
0,2.7661083543622533,1.9927926142695254,1,2
1,2.8045532421521004,2.1130257411192868,1,2
2,2.8149176696692546,2.1248490773782507,1,2
3,2.9127999011628654,2.165950368869655,1,2
4,2.9127999011628654,2.2575408866742266,1,2
5,2.9442126669072155,2.326480173282485,1,2
6,2.946340877914476,2.2450672799091564,1,2
7,2.9947174048320733,2.2542872050906886,1,2
8,2.9947174048320733,2.3801304566360426,1,2
9,2.9947174048320733,2.4393563376007417,1,2
10,2.9947174048320733,2.3186867347400675,1,2
11,2.9962357704942657,2.3858981905865604,1,2
12,2.997774395246846,2.4084776758318887,1,2
13,2.997774395246846,2.3012394120357698,1,2
14,2.9997884812241504,2.534412705138761,1,2
15,2.9997997148999964,2.353027379327,1,2
16,2.9998840241624185,2.4707178098004756,1,2
17,2.9998840241624185,2.397667154298847,1,2
18,2.9998840241624185,2.38683191390023,1,2
19,2.9999358518495,2.3637283459743825,1,2
20,2.9999358518495,2.4667732307303076,1,2
21,2.9999743886934196,2.440529755211014,1,2
22,2.999991305536791,2.4158221602640895,1,2
23,2.999998525466683,2.463604859450475,1,2
24,2.9999989961440474,2.346310783690377,1,2
25,2.9999989961440474,2.3386634966786697,1,2
26,2.999999381224135,2.4622153021725386,1,2
27,2.999999575380558,2.3622029557204467,1,2
28,2.999999631999396,2.357169549694187,1,2
29,2.999999711895029,2.263334774919269,1,2
30,2.999999711895029,2.372325782411194,1,2
31,2.99999995869861,2.2469215511072087,1,2
32,2.99999995869861,2.2841524577670747,1,2
33,2.999999967110539,2.236233651073813,1,2
34,2.9999999941668403,2.3540252432702973,1,2
35,2.999999995267422,2.4584911567937486,1,2
36,2.999999995267422,2.351979484057945,1,2
37,2.999999995267422,2.410520280870576,1,2
38,2.9999999992544804,2.466135737490758,1,2
39,2.9999999992544804,2.3175765477760946,1,2
40,2.9999999992544804,2.346423712854418,1,2
41,2.9999999992544804,2.407008136791878,1,2
42,2.999999999545011,2.410383236432423,1,2
43,2.9999999995545945,2.4767708691199726,1,2
44,2.9999999995545945,2.4206482073402737,1,2
45,2.9999999995562208,2.3810166980659355,1,2
46,2.9999999997048667,2.4506746290695816,1,2
47,2.9999999997962465,2.5120138068528277,1,2
48,2.9999999997962465,2.50922586046504,1,2
49,2.9999999997962465,2.433454478595265,1,2
