Generation,Best Fitness,Mean Fitness,Nodes,Connections
0,2.662112806510427,1.9495066526509086,1,2
1,2.9354968855832286,2.122333743577042,1,2
2,2.9354968855832286,2.1731811351673795,1,2
3,2.9849245218795755,2.282879287253031,1,2
4,2.9849245218795755,2.203258310897757,1,2
5,2.9952412201795906,2.195211540391401,1,2
6,2.9952412201795906,2.2842694344785155,1,2
7,2.9966387982484757,2.351168882529642,1,2
8,2.9966387982484757,2.2676323411716837,1,2
9,2.998317370810876,2.2675669228338298,1,2
10,2.999095525256907,2.3424758792411238,1,2
11,2.999095525256907,2.364493214118785,1,2
12,2.999744127503852,2.4752569622137015,1,2
13,2.999744127503852,2.4147596308442347,1,2
14,2.9998340888294095,2.2494377421865805,1,2
15,2.999954465676746,2.4575682662767533,1,2
16,2.999954465676746,2.4649649892716963,1,2
17,2.999954465676746,2.433609595320319,1,2
18,2.99997004018956,2.3396815484229054,1,2
19,2.9999891771243825,2.21729810560008,1,2
20,2.9999891771243825,2.398064726259033,1,2
21,2.999997041291499,2.3363485411754157,1,2
22,2.999997267409604,2.3246472452274425,1,2
23,2.9999975170476567,2.289694383617173,1,2
24,2.9999975170476567,2.2284538321805787,1,2
25,2.9999975170476567,2.2283445643043933,1,2
26,2.9999975951111284,2.3095896907306406,2,4
27,2.9999975951111284,2.390611968515288,2,4
28,2.9999990190395036,2.3485374936656997,1,2
29,2.9999990190395036,2.3447397551121294,1,2
30,2.99999904056392,2.396196235165511,2,4
31,2.999999582338014,2.201100027164533,1,2
32,2.999999683642568,2.4483117993881907,1,2
33,2.999999683642568,2.2701057084445937,1,2
34,2.999999683642568,2.3691412142927426,1,2
35,2.999999683642568,2.3185339812476125,1,2
36,2.9999999579265215,2.392873091835331,2,4
37,2.9999999785832,2.4106232978169264,2,4
38,2.9999999785832,2.4974079161880183,2,4
39,2.9999999785832,2.453622517264343,2,4
40,2.9999999785832,2.6269120294127823,2,4
41,2.9999999995329816,2.3686008060468664,2,4
42,2.9999999995329816,2.373477466911813,2,4
43,2.9999999995329816,2.5232909954610974,2,4
44,2.9999999995329816,2.3877382923628123,2,4
45,2.9999999995329816,2.4535320213304312,2,4
46,2.9999999995329816,2.4296616131718665,2,4
47,2.9999999995329816,2.4717939317313973,2,4
48,2.9999999995329816,2.4498689207475555,2,4
49,2.9999999995329816,2.3117675521836656,2,4
